algorithm,label,T,mean_true_utility,std_true_utility,mean_regret,std_regret,mean_suboptimal_pull_rate,mean_cumulative_regret
uct_llm,UCT + aligned reward,1,0.7413540015780891,0.08012857166415749,0.14389860369091992,0.08284186748522276,0.791015625,0.14389860369091992
uct_rule,UCT + rule proxy,1,0.7413540015780891,0.08012857166415749,0.14389860369091992,0.08284186748522276,0.791015625,0.14389860369091992
uniform_llm,Uniform + aligned reward,1,0.7413540015780891,0.08012857166415749,0.14389860369091992,0.08284186748522276,0.791015625,0.14389860369091992
uct_llm,UCT + aligned reward,2,0.801568627228606,0.08459200444327583,0.08368397804040299,0.0830187983070354,0.759765625,0.24338588157874233
uct_rule,UCT + rule proxy,2,0.7931730539173921,0.08658999668159689,0.09207955135161691,0.08570890926257581,0.759765625,0.24338588157874233
uniform_llm,Uniform + aligned reward,2,0.801568627228606,0.08459200444327583,0.08368397804040299,0.0830187983070354,0.759765625,0.24338588157874233
uct_llm,UCT + aligned reward,4,0.8786895982333619,0.041370656196195274,0.006563007035647103,0.027446421325399015,0.75,0.5890806240307769
uct_rule,UCT + rule proxy,4,0.8074375395773999,0.1199177448088914,0.07781506569160906,0.11848253468656587,0.75,0.5890806240307769
uniform_llm,Uniform + aligned reward,4,0.8786895982333619,0.041370656196195274,0.006563007035647103,0.027446421325399015,0.75,0.5890806240307769
uct_llm,UCT + aligned reward,8,0.8837504016126686,0.03149556877441259,0.0015022036563404188,0.01174462490994113,0.74652099609375,1.1688537913594064
uct_rule,UCT + rule proxy,8,0.8227582205003469,0.11387156744023062,0.06249438476866219,0.11026973416320521,0.73773193359375,1.1585832786991028
uniform_llm,Uniform + aligned reward,8,0.8835301147850848,0.032011558889409875,0.0017224904839241797,0.012414088481265288,0.75,1.1781612480615538
uct_llm,UCT + aligned reward,12,0.8846683749259477,0.02947506038078957,0.0005842303430612975,0.006449513269800551,0.6778462727864583,1.51587598228146
uct_rule,UCT + rule proxy,12,0.8295095470892524,0.11119584103660027,0.055743058179756645,0.10604695662685713,0.6982421875,1.6617142974954495
uniform_llm,Uniform + aligned reward,12,0.8845924546460116,0.02957090049147148,0.0006601506229974174,0.007194016958043409,0.75,1.7672418720923306
uct_llm,UCT + aligned reward,16,0.8849868322691893,0.028714977166265122,0.0002657729998197374,0.003969265437699167,0.6748046875,2.0303118754270026
uct_rule,UCT + rule proxy,16,0.8329848501394138,0.10912681452984722,0.05226775512959523,0.10349998002306118,0.685882568359375,2.1954588498987704
uniform_llm,Uniform + aligned reward,16,0.8848872884299855,0.028902712843149398,0.0003653168390234872,0.00516158608452634,0.75,2.3563224961231075
